,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,
,Snacks,Sell
Price,4.27.15,4.27.15,4.29.15,4.29.15,,0.0,Guaranteed Price,Total Due,END OF WEEK TOTALS,,,,
SKU,Name,,,Waste,,Waste,,Waste,,,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,5.0,0.0,5.0,0.0,,,0.0,0.0,,10.0,0.0,1.0,0.0
1720.0,,,3.0,0.0,3.0,0.0,,,0.0,0.0,,6.0,0.0,1.0,0.0
1904.0,,,3.0,0.0,3.0,1.0,,,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,11.0,,11.0,,0.0,,0.0,0.0,,,,,
,Sandwiches,Price,4.27.15,4.27.15,4.29.15,4.29.15,0.0,0.0,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1814.0,,,3.0,0.0,3.0,0.0,,,0.0,0.0,,6.0,0.0,1.0,0.0
1799.0,,,3.0,0.0,3.0,0.0,,,0.0,0.0,,6.0,0.0,1.0,0.0
1802.0,,,3.0,0.0,3.0,0.0,,,0.0,0.0,,6.0,0.0,1.0,0.0
1816.0,,,3.0,3.0,3.0,2.0,,,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SANDWICHES,,12.0,,12.0,,0.0,,0.0,0.0,,,,,
,Wraps,Price,4.27.15,4.27.15,4.29.15,4.29.15,0.0,0.0,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1837.0,,,3.0,0.0,3.0,1.0,,,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1838.0,,,3.0,0.0,3.0,0.0,,,0.0,0.0,,6.0,0.0,1.0,0.0
1858.0,,,3.0,0.0,3.0,2.0,,,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1853.0,,,3.0,0.0,3.0,0.0,,,0.0,0.0,,6.0,0.0,1.0,0.0
1828.0,,,3.0,1.0,3.0,1.0,,,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL WRAPS,,15.0,,15.0,,0.0,,0.0,0.0,,,,,
,Salads,Price,4.27.15,4.27.15,4.29.15,4.29.15,0.0,0.0,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1884.0,,,3.0,1.0,3.0,2.0,,,0.0,0.0,,3.0,3.0,0.5,0.5
1873.0,,,3.0,2.0,3.0,2.0,,,0.0,0.0,,2.0,4.0,0.333333333333,0.666666666667
1889.0,,,3.0,1.0,3.0,0.0,,,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1877.0,,,3.0,1.0,3.0,0.0,,,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1871.0,,,3.0,1.0,3.0,0.0,,,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
,TOTAL SALADS,,15.0,,15.0,,0.0,,0.0,0.0,,,,,
,Entrees,Price,4.27.15,4.27.15,4.29.15,4.29.15,0.0,0.0,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1945.0,,,4.0,3.0,4.0,2.0,,,0.0,0.0,,3.0,5.0,0.375,0.625
1943.0,,,3.0,2.0,3.0,0.0,,,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,Roasted Bell Peppers Stuffed,,,,,,,,,,,,,,
,Slow Rosated Garlic Herb Brisket,,,,,,,,,,,,,,
,TOTAL ENTREES,,7.0,,7.0,,0.0,,0.0,0.0,,,,,
,Total ITEMS WASTED,,,0.0,,0.0,,0.0,,,,,,,
,TOTAL ITEMS DELIVERED,,60.0,,60.0,,0.0,,,,,,,,
