,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,
,Snacks,Sell
Price,5.18.15,5.18.15,5.20.15,5.20.15,5.22.15,5.22.15,Guaranteed Price,Total Due,END OF WEEK TOTALS,,,,
SKU,Name,,,Waste,,Waste,,Waste,,,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,6.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,,5.0,7.0,0.416666666667,0.583333333333
1720.0,,,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1904.0,,,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,12.0,,12.0,,0.0,,0.0,0.0,,,,,
,Sandwiches,Price,5.18.15,5.18.15,5.20.15,5.20.15,5.22.15,5.22.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1806.0,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
1808.0,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
1820.0,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,1.0
1821.0,,,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1795.0,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,1.0
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SANDWICHES,,15.0,,15.0,,0.0,,0.0,0.0,,,,,
,Wraps,Price,5.18.15,5.18.15,5.20.15,5.20.15,5.22.15,5.22.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1865.0,,,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,2.0,4.0,0.333333333333,0.666666666667
1841.0,,,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1866.0,,,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,,2.0,4.0,0.333333333333,0.666666666667
1863.0,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
1830.0,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,1.0
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL WRAPS,,15.0,,15.0,,0.0,,0.0,0.0,,,,,
,Salads,Price,5.18.15,5.18.15,5.20.15,5.20.15,5.22.15,5.22.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1875.0,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,1.0
1877.0,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
1887.0,,,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,3.0,3.0,0.5,0.5
1872.0,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SALADS,,12.0,,12.0,,0.0,,0.0,0.0,,,,,
,Entrees,Price,5.18.15,5.18.15,5.20.15,5.20.15,5.22.15,5.22.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1944.0,,,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,3.0,3.0,0.5,0.5
1945.0,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,1.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL ENTREES,,6.0,,6.0,,0.0,,0.0,0.0,,,,,
,Cosmo Marinated Grilled Chicken,,,,,,,,,,,,,,
,Portobello stuffed mushroom,,,,,,,,,,,,,,
,Total ITEMS WASTED,,,0.0,,0.0,,0.0,,,,,,,
,TOTAL ITEMS DELIVERED,,60.0,,60.0,,0.0,,,,,,,,
