,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,
,Snacks,Sell
Price,6.8.15,6.8.15,6.10.15,6.10.15,6.12.15,6.12.15,Guaranteed Price,Total Due,END OF WEEK TOTALS,,,,
SKU,Name,,,Waste,,Waste,,Waste,,,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,5.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,,9.0,3.0,0.75,0.25
1899.0,,,5.0,5.0,5.0,4.0,2.0,0.0,0.0,0.0,,3.0,9.0,0.25,0.75
1896.0,,,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,,0.0,12.0,0.0,1.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,15.0,,15.0,,6.0,,0.0,0.0,,,,,
,Sandwiches,Price,6.8.15,6.8.15,6.10.15,6.10.15,6.12.15,6.12.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1800.0,,,3.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,,6.0,2.0,0.75,0.25
1802.0,,,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,,6.0,2.0,0.75,0.25
1810.0,,,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,,4.0,4.0,0.5,0.5
1794.0,,,3.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,,3.0,5.0,0.375,0.625
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SANDWICHES,,12.0,,12.0,,8.0,,0.0,0.0,,,,,
,Wraps,Price,6.8.15,6.8.15,6.10.15,6.10.15,6.12.15,6.12.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1838.0,,,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,,4.0,3.0,0.571428571429,0.428571428571
1853.0,,,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,,3.0,4.0,0.428571428571,0.571428571429
1852.0,,,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,,1.0,6.0,0.142857142857,0.857142857143
1858.0,,,3.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,,-1.0,8.0,-0.142857142857,1.14285714286
1825.0,,,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,,2.0,5.0,0.285714285714,0.714285714286
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL WRAPS,,15.0,,15.0,,5.0,,0.0,0.0,,,,,
,Salads,Price,6.8.15,6.8.15,6.10.15,6.10.15,6.12.15,6.12.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1873.0,,,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,,6.0,2.0,0.75,0.25
1879.0,,,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,,7.0,1.0,0.875,0.125
1881.0,,,3.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,,6.0,2.0,0.75,0.25
1868.0,,,3.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,,4.0,4.0,0.5,0.5
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SALADS,,12.0,,12.0,,8.0,,0.0,0.0,,,,,
,Entrees,Price,6.8.15,6.8.15,6.10.15,6.10.15,6.12.15,6.12.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1943.0,,,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,,3.0,5.0,0.375,0.625
1945.0,,,3.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,,7.0,7.0,1.0,1.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,Polpette Meatloaf,,,,,,,,,,,,,,
,Lasagna Verde,,,,,,,,,,,,,,
,TOTAL ENTREES,,6.0,,6.0,,3.0,,0.0,0.0,,,,,
,Total ITEMS WASTED,,,0.0,,0.0,,0.0,,,,,,,
,TOTAL ITEMS DELIVERED,,60.0,,60.0,,30.0,,,,,,,,
