Timestamp,Choose what most likely describe your diet habit,Do you have any food allergy ?,How often are you likely to purchase the following meals on campus ? [Breakfast],How often are you likely to purchase the following meals on campus ? [Lunch],How often are you likely to purchase the following meals on campus ? [Dinner],How happy are you with our current Pantry food options (varieties) on campus.,Are you currently happy with the freshness of our food items ? ,How do you currently feel about the amount of food per serving ?,Select the qualities that are most important to you in picking food from our vending machine on campus,Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Sandwich],Is there any item you would like to see more often in the fridge ?,How much are you willing to pay for lunch ?,Is there any item that you would buy but dont because it's not filing enough ?,Do you have any request for new food options or any suggestions for us ?,"If we have more food options in Pantry, would you buy them ?",Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Salad],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Soup],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Rice with meat and vegetables],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Noodle],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Pasta],Select the kind of food that you have purchased or would likely to purchase in the vending machine in our campus. [Dessert],Username,Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Pasta],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Dessets],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Pasta],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Dessets],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Row 5],Select the kind of food that you have purchased or would likely to purchase in our campus' vending machine. [Row 5]
11/5/2015 18:08:54,"omnivore (I eat everything, including meat and vegetables)",,Sometimes,,,It is ok as it is,,Too little,Filling,My favorite all the time,,,,,I don't care,My favorite all the time,,,My favorite all the time,,,,,,,,,
11/10/2015 10:04:03,"omnivore (I eat everything, including meat and vegetables), Calories watcher, Nutrition watcher",,Majority of the time,,,It is ok as it is,,Too little,"Affordable, Healthy Options, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,10,,,Yes,,,,My favorite all the time,My favorite all the time,,,,,,,,
11/10/2015 10:04:28,"vegan, vegetarian",,,Sometimes,,It is ok as it is,,Just about right,"Affordable, Healthy Options, Great Taste, Calories",My favorite all the time,,5,,,Yes,My favorite all the time,,,,My favorite all the time,,,,,,,,
11/10/2015 10:04:46,"vegan, vegetarian",,Sometimes,Sometimes,Sometimes,I'm not happy with current service,,Just about right,"Affordable, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling, Calories","My favorite only at a specific time (breakfast, lunch or dinner)",,,,,Yes,,,,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,,,,,,,
11/10/2015 10:05:40,"omnivore (I eat everything, including meat and vegetables)",,Never,Majority of the time,Sometimes,It is ok as it is,,Just about right,"Affordable, Healthy Options, Unique/ Specialty Food, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,Never,Never,Never,My favorite all the time,,,,,,,
11/10/2015 10:05:45,"vegetarian, omnivore (I eat everything, including meat and vegetables), Calories watcher",,Sometimes,Sometimes,Majority of the time,I'm very happy,,Just about right,"Affordable, Organic Menu, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling, Calories",I have tried (or would like to try) that,,7,,Fruits,Yes,My favorite all the time,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:06:33,vegetarian,,Majority of the time,,,I'm not happy with current service,,Just about right,"Affordable, Great Taste",I have tried (or would like to try) that,,8,,"If there were more of the breakfast item - yougurt, berries and oatmeal, it would be great.  Most of the times it is not available.",Yes,I have tried (or would like to try) that,Never,,I have tried (or would like to try) that,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 10:07:14,"omnivore (I eat everything, including meat and vegetables), Low carb, Calories watcher, Nutrition watcher",,,Sometimes,,I'm not happy with current service,,Just about right,"Healthy Options, Great Taste, Calories",I have tried (or would like to try) that,,9,,,Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,Never,Never,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:09:16,"omnivore (I eat everything, including meat and vegetables)",,Never,Never,Sometimes,I'm not happy with current service,,Just about right,"Affordable, Changing Menu",Never,,6,,"Please reduce the cheese quantity in salad. salad is expensive, $5(within meat) would be reasonable for me.",Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/10/2015 10:09:46,"vegetarian, omnivore (I eat everything, including meat and vegetables)",,,Sometimes,Sometimes,I'm not happy with current service,,,"Affordable, Healthy Options, Changing Menu, Great Taste, Filling",I have tried (or would like to try) that,,,,,Yes,,,I have tried (or would like to try) that,,,,,,,,,,
11/10/2015 10:11:56,"omnivore (I eat everything, including meat and vegetables)",asparagus,Never,Never,Sometimes,I haven't used Pantry at all,,I don't care,"Affordable, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Filling",Never,,7,,,Yes,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,My favorite all the time,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 10:20:49,"omnivore (I eat everything, including meat and vegetables)",no,,Sometimes,,It is ok as it is,,Just about right,"Great Taste, Calories","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:20:57,vegan,,Sometimes,Majority of the time,Sometimes,I'm not happy with current service,,Too little,Clearly marked vegan options or allergy information with vegetarian marking for all food items,My favorite all the time,,8,,at least one vegan option per day,Yes,I have tried (or would like to try) that,Never,My favorite all the time,I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:21:20,"omnivore (I eat everything, including meat and vegetables)",,Never,Sometimes,Never,It is ok as it is,,Just about right,"Affordable, Healthy Options, Unique/ Specialty Food",I have tried (or would like to try) that,,8,,,Yes,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,I have tried (or would like to try) that,I have tried (or would like to try) that,,,,,,,
11/10/2015 10:21:30,"vegan, vegetarian, Calories watcher, Nutrition watcher",,Never,Sometimes,Never,It is ok as it is,,Too little,"Affordable, Healthy Options, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,10,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",,,,,,,
11/10/2015 10:23:30,carnivore (meat eater),,Sometimes,Sometimes,Sometimes,I'm not happy with current service,,Too little,Great Taste,"My favorite only at a specific time (breakfast, lunch or dinner)",,10,,,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)","My favorite only at a specific time (breakfast, lunch or dinner)",My favorite all the time,My favorite all the time,My favorite all the time,My favorite all the time,,,,,,,
11/10/2015 10:24:43,carnivore (meat eater),,,Sometimes,,I'm not happy with current service,,Too much,"Affordable, Great Taste, Warm food","My favorite only at a specific time (breakfast, lunch or dinner)",,6,,"Warm food, not only sandwiches",Yes,I have tried (or would like to try) that,Never,I have tried (or would like to try) that,I have tried (or would like to try) that,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/10/2015 10:25:15,"omnivore (I eat everything, including meat and vegetables)",mushrooms,,Sometimes,Sometimes,I'm not happy with current service,,Just about right,"Affordable, Great Taste","My favorite only at a specific time (breakfast, lunch or dinner)",,7,,"The rice dishes / noodel dishes are too small (1 dish is not enough for 1 meal).
The Burritos (roll) tastes the worst.
It would be better if the screen can show the detail (every ingredient) of every food inside the machine (or print them on label), because sometimes it contains ingredients we cannot eat or don't like.
It would be better if there are more varieties.",Yes,Never,Never,My favorite all the time,My favorite all the time,"My favorite only at a specific time (breakfast, lunch or dinner)",I have tried (or would like to try) that,,,,,,,
11/10/2015 10:31:59,"vegan, vegetarian, gluten-free, Calories watcher, Nutrition watcher",No,,Sometimes,,It is ok as it is,,Too little,"Organic Menu, Healthy Options, Great Taste, Filling, Vegetarian",My favorite all the time,,7,,,Yes,,,,,My favorite all the time,,,,,,,,
11/10/2015 10:32:33,"vegan, vegetarian, Low carb, Calories watcher, Nutrition watcher",,Never,Sometimes,Never,I'm not happy with current service,,Just about right,"Affordable, Healthy Options, Great Taste",I have tried (or would like to try) that,,7,,,Yes,Never,Never,Never,Never,Never,Never,,,,,,,
11/10/2015 10:33:39,"omnivore (I eat everything, including meat and vegetables), Nutrition watcher",no,,Sometimes,,I'm not happy with current service,,Too little,Great Taste,I have tried (or would like to try) that,,7,,,Yes,I have tried (or would like to try) that,,I have tried (or would like to try) that,,,,,,,,,,
11/10/2015 10:39:53,carnivore (meat eater),no,Never,Sometimes,Sometimes,I'm not happy with current service,,Too little,"Affordable, Great Taste",I have tried (or would like to try) that,,6,,"Actually i would love to pay more if the the food is tasty. For the quality of wrap or lunch dish we've been given so far, I don't think it worth $7. Try them, taste horrible. Won't use the machine unless i dont have time and i dont have any food with me.",Yes,My favorite all the time,Never,I have tried (or would like to try) that,Never,Never,Never,,,,,,,
11/10/2015 10:40:16,vegan,,Never,Sometimes,Never,I haven't used Pantry at all,,,"Affordable, Organic Menu, Healthy Options, Changing Menu, Great Taste, Filling",My favorite all the time,,7,,"could not get if the food is vegetarian or has meat, by looking at the pack",Yes,My favorite all the time,,,My favorite all the time,My favorite all the time,,,,,,,,
11/10/2015 10:41:42,"Low carb, Calories watcher, Nutrition watcher, Halal/Kosher",,Never,Sometimes,Sometimes,It is ok as it is,,Too little,"Affordable, Organic Menu, Healthy Options, Changing Menu, Unique/ Specialty Food, Great Taste, Availability","My favorite only at a specific time (breakfast, lunch or dinner)",,10,,It would be nice if it is stocked all over the week.,Yes,"My favorite only at a specific time (breakfast, lunch or dinner)",Never,I have tried (or would like to try) that,Never,Never,I have tried (or would like to try) that,,,,,,,
